generation,best,mean,std,worst
0,9.666666666666666,9.133333333333335,0.40000000000000013,8.333333333333334
1,26.666666666666668,11.666666666666668,5.09247811319139,9.0
2,73.0,20.633333333333336,18.709148089162753,8.333333333333334
3,73.0,24.86666666666667,24.111408088288826,9.0
4,73.0,33.33333333333333,27.585825667863883,9.333333333333334
5,190.0,53.833333333333336,52.662710821900454,9.333333333333334
6,190.0,38.3,53.81314378889645,9.0
7,190.0,67.79999999999998,61.049924924878766,9.333333333333334
8,259.3333333333333,98.43333333333332,89.30074654409857,9.0
9,259.3333333333333,85.69999999999999,92.33783984189076,9.333333333333334
10,259.3333333333333,81.83333333333334,96.77479584639335,9.0
11,385.3333333333333,131.63333333333335,120.38774854610413,9.666666666666666
12,385.3333333333333,137.7,120.10037006141525,17.333333333333332
13,385.3333333333333,115.73333333333332,152.88919735111003,8.333333333333334
14,400.0,205.23333333333335,165.16557685479677,8.666666666666666
15,400.0,220.6666666666666,155.72061877320905,9.666666666666666
16,500.0,249.83333333333331,197.29437960119955,8.666666666666666
17,500.0,303.8,194.30635604632187,10.0
18,500.0,334.6,212.45280783165836,9.0
19,500.0,255.4,244.60911221329792,8.333333333333334
20,500.0,270.06666666666666,230.7536348576117,9.333333333333334
21,500.0,278.90000000000003,224.83910543616147,9.333333333333334
22,500.0,354.0,223.04204885078408,9.0
23,500.0,310.66666666666663,232.00047892670875,9.0
24,500.0,271.4666666666667,232.37002101533378,9.333333333333334
